rating,review
1,"""This is an extraordinary aviation history movie where the outcome is amystery even while the viewers understand the emotional impact of theFlight 1549 ""Miracle on the Hudson"". Again, Tom Hanks gives asexceptional a performance as the expert aviator Captain ChesleySullenberger as he did when he portrayed the hero in ""CaptainPhillips"". A wonderful supporting role performance, perhaps co-star isa better description, was given by Aaron Eckhart as Sully's co-pilotJeff Skiles. Excellent heroics in ""Sully"" were directed by ClintEastwood and it is probably his best movie; Oscar nominations allaround will be well deserved. This is a timeless movie to be enjoyedfor generations because the characters are real people who are bondedby a heroic man, husband, father, positive role model and dedicatedaviator. Highly recommended as a movie worth an encore viewing."""
1,"""I've always been a fan of Clint Eastwood and he didn't disappoint atall. When this first happened, I figured there'd be a movie about himand never thought about Tom Hanks, and now see that he was an excellentchoice. Even though we know the outcome, this movie was awesome! Therewere some teary moments and the special effects were so realistic. Itkinda shed a bad light on the attitude of the NTSB and I'm hoping thatwasn't the case, maybe the movie just needed some controversy. Iremember seeing someone from the NTSB being interviewed who claimedthey were depicted in a bad light but who knows. There was a humorousside, and I don't want to spoil it, but keep you eye on the black guywho is sitting on the board of the NTSB."""
1,"""Going into this I was a skeptic. How do you make a movie aboutsomething that was in the news for days and days? Something thateveryone feels they could repeat from start to finish due to all theexposure? And how would you hold people's interest when we all know howit ends and possibly all the details? This movie accomplished all in amesmerizing, edge-of-the-seat delivery. I didn't go with enthusiasm butbecause my husband wanted to see it. ""Sully"" uses flashbacks as aperson does when mulling over something from the past. The pilotexamines what happened, what he and his co-pilot did, and raises thequestion as to whether anything was missed. I can't criticize the way""Sully"" was staged but find it close to flawless. It was as close tothe actual experience as one can get. Even the scene involving theNTSB, something that might come off as dull, was not. You know thismovie is moving toward a frightening, inevitable, event. This kind ofthing anyone who flies, openly, or secretly, fears. There was somethinga little cathartic in taking the dive from the sky. I can't say whethereveryone would feel that way but it satisfied my curiosity. I wasn'tthere but...close enough! Tom Hanks and his co-pilot, Aaron Eckhart,bring this story to life again in the best way. It also made me awareof how much experience plus instinct the real Sully had, and used, tobring about a happy ending."""
1,"""Do go and see the film ""Sully"", when next you fly, you will think ofthis film. Tom Hanks did a great job in the role of Sully. We take forgranted those who crew and fly our passenger planes. Seeing this film,you feel you are one of the passengers. When your flight lands and ittakes so long to get off the aircraft, think of this film and if itever happens to you, remember were the emergency exits are and do readthe safety brochures on the back of the seat in front of you. As wellthe life vest is usually under your seat, but do not inflate it tillyou are out of the cabin, else it may catch and lose its air or it mayhang you up from exiting the plane. Some people who see this film maynever want to fly again. Trust your crew to look out for you."""
1,"""Sully, is Clint Eastwood's new movie staring Tom Hanks as ChesleySullenberger the pilot who miraculously landed a commercial airplane onthe Hudson river after the plane was struck by geese after takeoff.Simple enough? Well as we see the movie there is more to the story thanthe famous water landing footage and a white mustached man.Sully is a movie which told in 3 points of view, the actual fight,Sully's personal story, and the NTSB investigating what happened.Asides from the flight, we see Sully having trouble taking all the newstardom as well has having anxiety wondering ""what if I did.."" The NTSBbasically want to prove that flight had the ability to return to theairport and holds Sully accountable. In that sets up a conflict as wellas ""who's the bad guy?"" for the movie. The movie does well withflashbacks of the flight, the meetings with NTSB, and Sully's ownpersonal venture though the whole process. Since this is a personal review, I found the movie to be amazing. It'swonderful to see a movie and get a ""wow did that really happen?"" fromit. The acting, directing, editing, and even the special effects wastop notch. A Clint Eastwood movie with top notch special effects?? Huh?The special effects of recreating the flight scene along with possibleoutcomes of other fictional plane possibilities was extremelyshockingly clear and didn't appear very CGI'ish.Tom Hanks does fantastic job playing the famous pilot with all of hiscoolness and reserve. Many people might think, well, it's Tom Hankshaven't we seen enough of his warm-hearted roles? Not like this. Hedoes the job showing a man in a face of stardom while trying to livehis normal life. This is a stardom he would never want to be in butlet's face it, you land on the Hudson you're IT. Sully is great example of those moments when you know you did somethingyou had to do but can't describe in words or math. I encourage viewersto listen to the actual audible cockpit recordings, when you do, tellyourself ""how many people are able to handle themselves in thatsituation?"" After seeing this movie, you definitely know 1."""
1,"""Spoiler Alert! After losing both engines striking a flock of Canadageese, Captain Sullenberger, aka Sully, and Jeff Skiles, co-pilotlanded their Airbus 320-214 on (not in) the Hudson River. All 155 soulson board are rescued by ferry captains and helicopter divers with noserious injuries.WAIT. . . . it's not a spoiler alert if the whole world knows whathappened. You're right, but the spoiler is not just knowing the events,but feeling as if you are there in the cockpit. You forget howeverything ends just fine, but you can't help yourself. Your breathingbecomes shallow, your stomach tightens as you brace for impact. Keeptelling yourself that it will all turn out OK. Doesn't work. Emotionoverrides what you know. But for all the white knuckles and gut wrenching, the untold story thatoccupies most of the movie is the investigation by the TransportationBoard that thinks Sully's at fault for not making it to an airport.That plane cost a lot of money and someone must be at fault (the geeseare held harmless). The longer the inquisition lasts, the higher yourblood pressure goes.This movie grabs you by the scruff of the neck and doesn't let go! Seeit at your own risk."""
1,"""In ""Sully"" the white haired and mustached Tom Hanks as Sully wearilytells his wife played by Laura Linney on the phone, ""... I did the bestI could."" His wife knows he did. We do as well. On January 15, 2009Chesley ""Sully"" Sullenberger landed the crippled US Airways Flight 1549on the Hudson River, saving the lives of 155 passengers and crew.Director Clint Eastwood tells the hero's story in ""Sully"", one of hisbest movies. Eastwood's direction and Tom Hanks as Sully are stark andpowerful in understatement. They honor all the heroes of the US AirwaysFlight. ""Sully"" is lean, clean, and inspiringmuch like Eastwood. Theconflict in ""Sully"" centers upon the investigation of whether Sullymade the right choice. Hanks's authenticity and humility evoke Sully'sstrength and compassion. He reminds us that Sully did his best, and hegot it right. ""Sully"" is one of the best movies of the year. ""Sully"" follows the National Transportation Safety Board (NTSB)investigation into the airplane landing on the Hudson River. ToddKomarnicki's screenplay based on the book by Chesley Sullenberger andJeffrey Zaslow seamlessly intertwines flashbacks from the waterlanding, and the NTSB proceedings. Eastwood effortlessly orchestratesthe narrative of the startling images of the landing and the irony ofthe investigation. The visual effects of the plane landing on theHudson are spectacular. Cinematographer Tom Stern captures the impacton a very personal scale. Water flooding the cabin. Sully and crewracing into action getting the passengers to safety. We see the fear ineveryone's face, and the courage to get through. We are in awe. Eastwood and Komarnicki graciously acknowledge thecommunity of heroes: from the ferry boat crew at the scene, the CoastGuard divers, to all the first responders and the police. And it startswith Sully. He has his anchors of support. Aaron Eckhart is loyal andsolid as First Officer Jeff Skiles. He was his invaluable right handduring the unthinkable, and during the investigation. Just minutes into the flight, birds collide with the plane's engines.Sully notices that they lost thrust in both engines, forcing them tochoose an emergency landing. Eckhart is smart and subtle in hisunwavering support of Hank's Sully through it all. Laura Linney amazesas Sully's wife Lorraine, his emotional rock. Sully has his doubts, andshe is always there for him. Linney is relegated by the story to phoneconversations with Sully. She beautifully accentuates that what Sullydoes sources from their profound relationship. That also goes forEckhart. They all see the best in each other. At the story arc Hanks as Sully graciously acknowledges all the heroesinvolved. We are also present to that he is catalyst for heroesemerging. Everyone involved was grateful to Sully. Eastwood is succinctin the irony of it all. Sully did his best, and saved 155 people. TheNTSB scrutinized whether there were other viable alternatives. WhatSully did worked in an unprecedented crisis. Period.The music in ""Sully"" both eloquently highlights and undercuts the rangeof emotions. Christian Jacob and the Tierney Sutton Band composed thescore from Clint Eastwood's musical theme. The music's clarity andsimplicity embody the movie's quiet heroism.""Sully"" is beautiful simplicity and power. Eastwood and Hanks celebratepeople selflessly doing their best to make a difference. One of themeasures of a hero is that he or she acknowledges and inspires otherheroes. ""Sully"" does all that and more. It is one of the best movies ofthe year."""
6,"""Having seen various documentaries and media reports about the 'Miracleon the Hudson', I always believed that whilst the story was amazing,the story was far too short from which to make a motion picture. In myhumble opinion, I'm still not wrong. The direction, acting and visualeffects were absolutely top-notch weaving together absolutely the mostthat could have been scraped together, and often delving into CaptainSullenburger's personal life to find extra material. Whilst the film is entertaining, I was on occasion actually bored frombeing overly familiar with the few minutes of the main story. This mainstory of the take-off, bird strike and glide before ditching was toldthree or four times in various different ways. The later rescue andNTSB hearing were shown as were clips of the media circus and heavilypadded out sections with the co-pilot and being on the phone with hiswife.In short, a worthy picture that does its best with meagre material,whilst resisting the temptation to descend into fantasy. Absolutelyworth your time but not great, due to the limited story."""
5,"""The problem with the movie ""Sully"" is that it's about 208 seconds ofaction, and we all know in advance that he successfully landed theplane with no loss of life. The movie starts off by telling theaudience that. So the only 'tension' in the movie is whether Capt.Sully is going to go from hero to villain if it's decided by theaccident investigators that his decision to go for the Hudson ratherthan one of the nearby airports was the safer decision or not.Unfortunately, because the movie is based on Sully's own version ofevents, it looks at the everything from his point of view alone. Ifthere was some background provided for some of the passengers, theaudience might be a little more invested in the survival of everyoneonboard. The movie's just over 90 minutes long, basically because there wasn'tenough to pad it out any further. It's well acted, but that's the onlything going for it. The real event was much more thrilling."""
9,"""Sully-The Story of ""The miracle of Hudson"" depicting the life ofSullenberger is a piece of art that would be remembered in years tocome. The film promises you to be immersed for the entire duration andcomplete credit goes to the director and the Protagonist.Acting (9/10) - Tom Hanks as Sully puts in so much intensity into thecharacter that one keeps wondering that how does he does it soeffortlessly. Aaron as the first officer Skies is great too and doesfull justice to his part. Laura Linney's part as Sully's wife islimited and she plays the role decently. Overall the movie's greatestasset are its actors.Direction (8/10) - Clint Eastwood's American Sniper remains his bestwork but Sully's direction is one notch below it and its because thestory is pretty simple and the director's role in keeping the storyengaging does not require much effort. Clint Eastwood has of coursedone a commendable job and looking forward to more.Overall, Sully is a great work to keep audience entertained with itssubtle humor at regular intervals. I give it 9/10 as some greatresearch has been done by the cast and crew which has delivered greatperformances too."""
8,"""My take on Sully : First let me say wow what a movie.A real story which showcases power of quick wit of one man and his actof bravery. Feat of a Captain saving 155 lives on board. Also provingHuman brains out wit computer brains or simulations ( watch the movieto understand that one )Another flawless portrayal by Tom Hanks! you were in the water withyour ship as captain Philips now in the air as captain sully either wayyou are nailing it. Salute to you Captain. Clint East wood on each of your projects you are raising the bars andmeeting the expectations. No wonder you are a legendary director.Exceptional and impeccable directorial feat.Verdict : The movie lived well up and above expectations. So what areyou waiting? Grab your tickets and get in for a movie which isIntriguing and gripping. It's a must watch on big screens. Last but notleast I am sure you will return with some moments will put in tears andgoose bumps. - Sivakumar Balachandran"""
