Class,From,Subject,Message
med," nyeda@cnsvax.uwec.edu (David Nye)"," Re: Can't Breathe","[reply to ron.roth@rose.com (ron roth)]   >While you're right that the S vertebrae are attached to each other, >the sacrum, to my knowledge, *can* be adjusted either directly, or >by applying pressure on the pubic bone...   Ron, you're an endless source of misinformation!  There ARE no sacral vertebrae.  There is a bone called the sacrum at the end of the spine. It is a single, solid bone except in a few patients who have a lumbarized S1 as a normal variant.  How do you adjust a solid bone, break it?  No, don't tell me, I don't want to know.   David Nye (nyeda@cnsvax.uwec.edu).  Midelfort Clinic, Eau Claire WI This is patently absurd; but whoever wishes to become a philosopher must learn not to be frightened by absurdities. -- Bertrand Russell NA NA NA NA NA"
med," rousseaua@immunex.com"," Re: Lactose intolerance","In article <ng4.733990422@husc.harvard.edu>, ng4@husc11.harvard.edu (Ho Leung Ng) writes: >  >    When I was a kid in primary school, I used to drink tons of milk without > any problems.  However, nowadays, I can hardly drink any at all without > experiencing some discomfort.  What could be responsible for the change? >  > Ho Leung Ng > ng4@husc.harvard.edu NA NA NA NA NA"
med," rousseaua@immunex.com"," Re: Lactose intolerance","In article <1993Apr5.165716.59@immunex.com>, rousseaua@immunex.com writes: > In article <ng4.733990422@husc.harvard.edu>, ng4@husc11.harvard.edu (Ho Leung Ng) writes: >>  >>    When I was a kid in primary school, I used to drink tons of milk without >> any problems.  However, nowadays, I can hardly drink any at all without >> experiencing some discomfort.  What could be responsible for the change? >>  >> Ho Leung Ng >> ng4@husc.harvard.edu   OOPS. My original message died. I'll try again... I always understood (perhaps wrongly...:)) that the bacteria in our digestive tracts help us break down the components of milk. Perhaps the normal flora of  the intestine changes as one passes from childhood. Is there a pathologist or microbiologist in the house?  Anne-Marie Rousseau e-mail: rousseaua@immunex.com (Please note that these opinions are mine, and only mine.)                                                   NA NA NA NA NA"
med," kxgst1+@pitt.edu (Kenneth Gilbert)"," Re: Smoker's Lungs","In article <1993Apr5.123315.48837@kuhub.cc.ukans.edu> bennett@kuhub.cc.ukans.edu writes: >How long does it take a smoker's lungs to clear of the tar after quitting?  >Does your chances of getting lung cancer decrease quickly or does it take >a considerable amount of time for that to happen?  The answer to your first question is rather difficult to answer without doing a lot of autopsies.  The second question is something that's been known for some time.  It appears that within about 15 years of quitting smoking a person's risk for developing lung cancer drops to that of the person who never smoked (assuming you do not get lung cancer in the interim!).  The risk to someone who smoked the equivalent of a pack per day for 40 years is around 20 times as high as a non-smoker.  Still rather low overall, but significant.  Personally, I'd be more concerned about heart disease secondary to smoking -- it's much more common, and even a small increase in risk is significant there.  --  =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= =  Kenneth Gilbert              __|__        University of Pittsburgh   = =  General Internal Medicine      |       ...dammit, not a programmer!  = =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= NA NA NA NA NA NA"
med," kxgst1@pitt.edu (Kenneth Gilbert)"," Re: Can't Breathe","David Nye (nyeda@cnsvax.uwec.edu) wrote: : [reply to ron.roth@rose.com (ron roth)] :   : >While you're right that the S vertebrae are attached to each other, : >the sacrum, to my knowledge, *can* be adjusted either directly, or : >by applying pressure on the pubic bone... :   : Ron, you're an endless source of misinformation!  There ARE no sacral : vertebrae.  There is a bone called the sacrum at the end of the spine. : It is a single, solid bone except in a few patients who have a : lumbarized S1 as a normal variant.  How do you adjust a solid bone, : break it?  No, don't tell me, I don't want to know. :   Oh come now, surely you know he only meant to measure the flow of electromagnetic energy about the sacrum and then adjust these flows with a crystal of chromium applied to the right great toe.  Don't you know anything?  -- =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= =  Kenneth Gilbert              __|__        University of Pittsburgh   = =  General Internal Medicine      |       ...dammit, not a programmer!  = =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-|-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= NA NA NA NA NA NA"
med," euclid@mrcnext.cso.uiuc.edu (Euclid K.)"," Re: Anti-Viral Herbs","kxgst1+@pitt.edu (Kenneth Gilbert) writes:  >Unfortunately it was rather poorly researched, and would not be available >today if it were just invented.  Keep in mind however that those were >the days when a bottle of Coca Cola really did contain coca extract and >a certain amount of active cocaine.  Times have changed, and our attitudes >need to change with them.  Well, yes.  That was a part of my point.  Aspirin has its problems, but in some situations it is useful.  Ditto stuff like licorice root.  Taking anything as a drug for theraputic purposes implicitly carries the idea of taking a dose where the benefits are not exceeded by any unwanted, additional effects.  Taking any drug when the potential ill-effects are not known is a risk assumed by the parties involved, and it may be that in a given situation the risk is worthwhile.    Like Prozac, for instance; Prozac has been shown to be theraputic in some cases where the tri-cyclics fail.  But Prozac hasn't been in use that long, and it really isn't clear what if any effects it may have when taken over long periods of time, even though it has been tested by present day standards.  Should Prozac be taken off the market because long-term effects, if any, are not known?  IMHO, i'd say no.  euclid  >=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= >=  Kenneth Gilbert                |          University of Pittsburgh   = >=  General Internal Medicine    --*--        Pittsburgh, PA             = >=  kxgst1+@pitt.edu               |       ...dammit, not a programmer!  = >=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= >--  >=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-= >=  Kenneth Gilbert                |          University of Pittsburgh   = >=  General Internal Medicine    --*--        Pittsburgh, PA             = >=  kxgst1+@pitt.edu               |       ...dammit, not a programmer!  = -- Euclid K.       standard disclaimers apply  It is a bit ironic that we need the wave model [of light] to understand the propagation of light only through that part of the system where it leaves no trace.   --Hudson & Nelson (_University_Physics_) NA NA NA NA NA NA NA"
med," jfare@53iss6.Waterloo.NCR.COM (Jim Fare)"," ringing ears","  A friend of mine has a trouble with her ears ringing.  The ringing is so loud that she has great difficulty sleeping at night.  She says that she hasn't  had a normal night's sleep in about 6 months (she looks like it too :-(). This is making her depressed so her doctor has put her on anti-depressants.  The ringing started rather suddenly about 6 months ago.  She is quickly losing sleep, social life and sanity over this.  Does anyone know of any treatments for this?  Any experience?  Coping mechanisms?  Any opinions on the anti-depressant drugs?                                                [J.F.]  NA NA NA NA NA NA NA NA"
med," mcovingt@aisun3.ai.uga.edu (Michael Covington)"," Re: Twitching eyelid","I'm surprised nobody mentioned that twitching of the eyelid can be a symptom of an infection, especially if it also itches or stings. (It happened to me, and antibiotic eyedrops cleared it up nicely.)  --  :-  Michael A. Covington         internet mcovingt@ai.uga.edu :    ***** :-  Artificial Intelligence Programs       phone 706 542-0358 :  ********* :-  The University of Georgia                fax 706 542-0349 :   *  *  * :-  Athens, Georgia 30602-7415 U.S.A.     amateur radio N4TMI :  ** *** ** NA NA NA NA NA NA NA"
med," dyer@spdcc.com (Steve Dyer)"," Re: fibromyalgia","In article <93Apr5.133521edt.1231@smoke.cs.toronto.edu> craig@cs.toronto.edu (Craig MacDonald) writes: >>  It may be extremely >>common, something like 5% of the population.  It is treatable with >>tricyclic antidepressant-type drugs (Elavil, Pamelor).   > >Why is it treated with antidepressants?  Is it considered a >psychogenic condition?  No.  That these drugs happen to be useful as antidepressants is neither here nor there.  --  Steve Dyer dyer@ursa-major.spdcc.com aka {ima,harvard,rayssd,linus,m2c}!spdcc!dyer NA NA NA NA"
med," dyer@spdcc.com (Steve Dyer)"," Re: Analgesics with Diuretics","In article <ofk=lve00WB2AvUktO@andrew.cmu.edu> Lawrence Curcio <lc2b+@andrew.cmu.edu> writes: >I sometimes see OTC preparations for muscle aches/back aches that >combine aspirin with a diuretic.  You certainly do not see OTC preparations advertised as such. The only such ridiculous concoctions are nostrums for premenstrual syndrome, ostensibly to treat headache and  bloating  simultaneously. They're worthless.  >The idea seems to be to reduce >inflammation by getting rid of fluid. Does this actually work?   That's not the idea, and no, they don't work.  --  Steve Dyer dyer@ursa-major.spdcc.com aka {ima,harvard,rayssd,linus,m2c}!spdcc!dyer NA NA NA NA"
med," jmilhoan@magnus.acs.ohio-state.edu (JT)"," Re: ringing ears","In article <10893@ncrwat.Waterloo.NCR.COM> jfare@53iss6.Waterloo.NCR.COM (Jim Fare) writes: > > >A friend of mine has a trouble with her ears ringing.  The ringing is so loud >that she has great difficulty sleeping at night.  She says that she hasn't  >had a normal night's sleep in about 6 months (she looks like it too :-(). >This is making her depressed so her doctor has put her on anti-depressants.  Sometimes I have a problem with doctor's prescribing medicine like this.  I of course don't know the exact situation, and anti-depressants may work, but it isn't helping the ringing at all, is it?   >The ringing started rather suddenly about 6 months ago.  She is quickly losing >sleep, social life and sanity over this.  Mine started about three years back.  Turns out I have tinnitus bilateral (translation: ringing in both ears, basically ;).  If this is what it is, she'll probably get used to it.  It would keep me up and drive me nuts too, but nowadays, I have to plug both my ears with my fingers to check to see if they are ringing.  Usually they are, but you get so used to it, it just gets tuned out.  Yes, this is what I've read about it... not just from my own personal experience.   >Does anyone know of any treatments for this?  Any experience?  Coping >mechanisms?  Any opinions on the anti-depressant drugs?  Millions have it, according to my physician.  You just learn to cope with it (like I mentioned earlier) by ignoring it.  It eventually becomes unconscious.  The doc also said it could be caused by diet (ie: too much caffeine) and stress, but I haven't changed my lifestyle much, and it just comes and goes (it is always there somewhat, but now I rarely notice it when it really  kicks in ).  Also, it doesn't necessarily mean there is any hearing loss, either caused by it or causing it.  I had an ENT (ear/nose/throat) exam, and passed.  In fact, my hearing is quite good considering I don't take as good of care of my hearing as I should.  Her reaction is normal.  If it is tinnitus, chances are good she'll begin to not even notice it.    This info is taken mostly from a few  experts , my own experience, and some readings (sorry, it was a few years back and don't have any specifics handy).  JT NA NA NA NA NA NA NA"
med," amigan@cup.portal.com (Mike - Medwid)"," Emphysema question","A friend of mine is going in later this week for tests to see if has emphysema.  His lung capacity has decreased over time.  His father died of the disease.  He works in woodworking.  I believe he has a very occasional cigarette, perhaps one cigarette a day or even less.  He tells me this..I've never seen him light up.  He has some pretty healthy life style habits, good diet, exercise, meditation, retreats, therapy etc.  Anyhow..he is very concerned with this check up.  I know really nothing about the disease.  I believe it interferes with the lining of the lung being able to exchange oxygen.    Is a diagnosis of emphysema a death sentence?  If he were to give up smoking entirely would that better his chances for recovery?  What are some  modern therapies used in people with this disease?  I would appreciate  any information.  Thanks.  amigan@cup.portal.com NA NA NA NA NA NA"
med," jfare@53iss6.Waterloo.NCR.COM (Jim Fare)"," Re: Oily skin - problem?","In article <1993Apr5.044140.1@vaxc.stevens-tech.edu> u92_hwong@vaxc.stevens-tech.edu writes: >	I have a very oily skin.  My problem is when I wash my face, it becomes >oily in half an hour.  Especially in the nose region.  Is this an illness?  How >can I prevent it from occuring in such short time?  Is there a cleanser out >there that will do a better job -- that is after cleaning, my face won't become >oily in such a short time.  I don't think that's a problem.  My face is quite oily too.  I had a moderate acne problem for many years.  I then found that if I vigorously scrub my face with a nail brush and soap (Irish Spring) twice a day the acne was not a  problem.  I can still leave a pretty health nose print on a mirror after 45 min (don't ask ;->) but acne is not a real problem anymore.                                             [J.F.]  NA NA NA NA NA NA NA"
med," jim.zisfein@factory.com (Jim Zisfein) "," Re: Migraines and scans","DN> From: nyeda@cnsvax.uwec.edu (David Nye) DN> A neurology DN> consultation is cheaper than a scan.  And also better, because a neurologist can make a differential diagnosis between migraine, tension-type headache, cluster, benign intracranial hypertension, chronic paroxysmal hemicrania, and other headache syndromes that all appear normal on a scan.  A neurologist can also recommend a course of treatment that is appropriate to the diagnosis.  DN> >>Also, since many people are convinced they have brain tumors or other DN> >>serious pathology, it may be cheaper to just get a CT scan then have DN> >>them come into the ER every few weeks. DN> And easier than taking the time to reassure the patient, right? DN> Personally, I don't think this can ever be justified.  Sigh.  It may never be justifiable, but I sometimes do it.  Even after I try to show thoroughness with a detailed history, neurologic examination, and discussion with the patient about my diagnosis, salted with lots of reassurance, patients still ask  why can't you order a scan, so we can be absolutely sure?   Aunt Millie often gets into the conversation, as in  they ignored Aunt Millie's headaches for years , and then she died of a brain tumor, aneurysm, or whatever.  If you can get away without ever ordering imaging for a patient with an obviously benign headache syndrome, I'd like to hear what your magic is.  Every once in a while I am able to bypass imaging by getting an EEG. Mind you, I don't think EEG is terribly sensitive for brain tumor, but the patient feels like  something is being done  (as if the hours I spent talking with and examining the patient were  nothing ), the EEG has no ionizing radiation, it's *much* cheaper than CT or MRI, and the EEG brings in some money to my department. ---  . SLMR 2.1 . E-mail: jim.zisfein@factory.com (Jim Zisfein)                                                                           NA NA NA NA NA NA NA"
med," jim.zisfein@factory.com (Jim Zisfein) "," Re: migraine and exercise","JL> From: jlecher@pbs.org JL> > I would not classify a mild headache that was continuous for weeks JL> > as migraine, even if the other typical features were there (e.g., JL> > unilateral, nausea and vomiting, photophobia).  Migraines are, by JL> > common agreement, episodic rather than constant. JL> > JL> Well, I'm glad that you aren't my doctor, then, or I'd still be suffering. JL> Remember, I was tested for any other cause, and there was nothing. I'm JL> otherwise very healthy. JL> The nagging pain has all of the qualifications: it's on one side, and JL> frequently included my entire right side: right arm, right leg, right eye, JL> even the right side of my tongue hurt or tingled. Noise hurt, light hurt, JL> thinking hurt. When it got bad, I would lose my ability to read.  The differential diagnosis between migraine and non-migranous pain is not *always* important, because some therapies are effective in both (e.g., tricyclic antidepressants such as amitriptyline, non-steroidal anti-inflammatory drugs such as ibuprofen).  Other therapies may be more specific: beta-blockers such as propranolol work better in migraine than tension-type headache.  The most important thing, from your perspective, is that you got relief.  Also, please understand that a diagnosis other than migraine does not necessarily mean  psychogenic ; I suspect that organic factors play as large a role in tension-type headache as in migraine. ---  . SLMR 2.1 . E-mail: jim.zisfein@factory.com (Jim Zisfein)    NA NA NA NA NA NA NA"
med," julkunen@messi.uku.fi (Antero Julkunen)"," What about sci.med.chemistry"," There is this newsgroup sci.med.physics and there has been quite a lot discussion in this group about many chemical items e.g. prolactin cholesterol, TSH etc. Should there also be a newsgroup sci.med.chemistry?   --  Antero Julkunen, Dept Clinical Chemistry, University of Kuopio, Finland e-mail: julkunen@messi.uku.fi, phone +358-71-162680, fax +358-71-162020  NA NA NA NA NA"
med," kturner@copper.denver.colorado.edu (Kathleen J Turner)"," Mystery Illness with eye problems"," 	A friend has the following symptoms which have occurred periodically every few months for the last 3 years.  An episode begins with extreme tiredness followed by:  	1. traveling joint pains and stiffness affecting mostly the elbows, 	knees, and hips. 	2. generalized muscle pains 	3. tinnitus and a feeling of pressure in her ears 	4. severe sweating occuring both at night and during the day 	5. hemorrhaging in both eyes.  Her opthamologist calls it peripheral    retinal hemorhages and says it looks similar to diabetic retinopathy.  (She         isn't diabetic--they checked. 	6. distorted color vision and distorted vision in general (telephone 	   poles do not appear to be straight) 	7. loss of peripheral vision.  	 	Many tests have been run and all are normal except for something  called unidentified bright objects found on a MRI of her brain.  The only thing that seems to alleviate one of these episodes is prednisone.  At times she had been on 60 mg per day.  Whenever she gets down to 10-15 mg the symptoms become acute again.  	She is quite concerned because the retinal hemorrhages are becoming worse with each episode and her vision is suffering.  None of the docs she has seen have any idea what this condition is or what can be done to stop it.  Any suggestions or advice would be greatly appreciated. Thanks in  advance.  Kathy Turner 	 NA NA NA NA NA"
med," caf@omen.UUCP (Chuck Forsberg WA7KGX)"," Re: My New Diet --> IT WORKS GREAT !!!!","In article <1993Apr5.191712.7543@inmet.camb.inmet.com> mazur@bluefin.camb.inmet.com (Beth Mazur) writes: >In <1993Apr03.1.6627@omen.UUCP> caf@omen.UUCP (Chuck Forsberg WA7KGX) writes: >>Gordon, your experience is valid for many, but not all.  The >>fact that you know a few people who have been overweight and are >>now stable at a lower (normal or just less?) weight does not >>contradict the observation that only 5-10 per cent can maintain >>ideal weight with current technology. > >Actually, the observation is that only 5-10% of those who seek help >from your so-called  diet evangelists  can maintain their weight.  I >happen to agree with Keith Lynch that there are many people who can >and do lose weight on their own, and who are not reflected in the >dismal failure rate that is often quoted. > >Wasn't there a study where a researcher asked a more general population, >perhaps some part of a university community, about weight loss and he/she >found that a much higher percentage had lost and maintained?   In fact Adiposity 101 mentions a similar study (search for  life events  in any recent version of Adiposity 101).  The problem with anecdotal reports about individuals who have lost weight and kept it off is that we don't know what caused the weight gain in the first place.  This is critical because someone who gains weight because of something temporary (drug effect, life event, etc.) may appear successful at dieting when the weight loss was really the result of reversing the temporary condition that caused the weight gain.  --  Chuck Forsberg WA7KGX          ...!tektronix!reed!omen!caf  Author of YMODEM, ZMODEM, Professional-YAM, ZCOMM, and DSZ   Omen Technology Inc     The High Reliability Software  17505-V NW Sauvie IS RD   Portland OR 97231   503-621-3406 NA NA NA NA NA"
med," swkirch@sun6850.nrl.navy.mil (Steve Kirchoefer)"," Re: Can't Breathe","Getting back to the original question in this thread:  I experienced breathing difficulties a few years ago similar to those described.  In my case, it turned out that I was developing Type I diabetes.  Although I never sought direct confirmation of this from my doctor, I think that the breathing problem was associated with the presence of ketones due to the diabetes.  I think that ketosis can occur in lesser degree if one is restricting their food intake drastically.  I don't know if this relevant in this case, but you might ask your daughter if she has been eating properly. --  Steve Kirchoefer                                             (202) 767-2862 Code 6851                                      kirchoefer@estd.nrl.navy.mil Naval Research Laboratory                       Microwave Technology Branch Washington, DC  20375-5000              Electronics Sci. and Tech. Division NA NA NA NA NA NA"
